docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,"국가유산청, ‘자연유산 수어 해설사’ 양성… 청각장애인 관람 장벽 낮춘다","국가유산청, ‘자연유산 수어 해설사’ 양성… 청각장애인 관람 장벽 낮춘다 [더인디고] 청각장애인이 수요자를 넘어 직접 자연유산의 가치를 전달하는 해설사로 나선다. 국가유산청은 지난 17일 대전 천연기념물센터에서 대전광역시립손소리복지관과 함께 양성한 농인 자연유산 수어 해설사 5명에게 임명장을 수여하는 발대식을 개최하고, 향후 지속적인 해설사 양성을 위한 업무협약을 체결했다고 밝혔다. 이번 사업은 청각장애인의 자연유산 향유 기회를 확대하고 농인의 사회참여를 지원하기 위해 지난 2월부터 공동 추진됐다. 천연기념물센터가 지원자 모집과 교육을, 손소리복지관이 […] The post 국가유산청, ‘자연유산 수어 해설사’ 양성… 청각장애인 관람 장벽 낮춘다 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68510,2026-06-17,2026,2026-06-18T23:40:18+09:00,HEARING_IMPAIRED,지원사업/모집,HIGH,TRUE,RSS,95,VISUAL_GUIDE,HEARING_IMPAIRED
,"[무필의 모두까기] 투표용지에는 분노하면서, 장애인 참정권에는 침묵하는 사회","[무필의 모두까기] 투표용지에는 분노하면서, 장애인 참정권에는 침묵하는 사회 [더인디고 = 무필 집필위원] 최근 치러진 지방선거에서 발생한 투표용지 부족과 혼란스러운 선거관리는 많은 국민에게 충격을 안겼다. 투표를 위해 긴 시간 줄을 서야 했던 유권자들, 선거 당국의 미숙한 대응으로 권리 행사가 지연된 시민들의 모습은 민주주의의 기본 절차가 얼마나 중요한지를 다시 한번 일깨웠다. 정치권과 언론이 이를 두고 “민주주의의 근간이 흔들렸다”고 비판한 것도 충분히 이해할 수 있다. 그러나 장애인 유권자의 입장에서 보면 이번 사태는 낯설지 않다. 참정권이 침해되는 경험은 장애인들에게는 선거 때마다 반복되어 온 일상이기 때문이다. 엘리베이터가 없는 투표소 앞에서 발길을 돌려야 했던 지체장애인, 충분한 정보 접근권이 보장되지 않아 후보와 공약을 제대로 알기 어려운 시각장애인, 투표 절차를 안내받을 수 있는 수어 통역 지원이 부족한 청각장애인, 그리고 어려운 선거 공보물과 복잡한 정치 용어 속에서 후보와 정책을 이해하기 힘든 발달장애인. 이들에게 참정권의 장벽은 특정 선거에서 발생한 일회성 사고가 아니라 매번 반복되는 현실이다. 실제로 장애계는 수년 전부터 선거 공보물의 쉬운 정보 제공을 요구해 왔다. 그러나 많은 발달장애인 유권자들은 여전히 어려운 한자어와 정치 용어, 장문의 공약집 앞에서 후보자와 정책을 이해하는 데 어려움을 겪고 있다. 후보자 토론회 역시 속도감 있는 언어와 복잡한 정치적 논쟁 중심으로 진행되는 경우가 많아 발달장애인이 접근하기 쉽지 않다. 투표는 할 수 있지만 누구를 왜 선택해야 하는지 이해할 수 있는 정보는 충분히 제공되지 않는 것이다. 특히 발달장애인에게 참정권은 단순히 투표소에 들어갈 수 있느냐의 문제가 아니다. 후보자와 공약을 이해할 수 있는 쉬운 정보가 제공되는지, 자신의 의사에 따라 선택할 수 있도록 충분한 지원이 이루어지는지의 문제다. 그러나 현실의 선거는 여전히 비장애인을 기준으로 설계되어 있으며, 발달장애인의 정치적 자기결정권은 제도 밖에 머물러 있는 경우가 많다. 투표용지가 부족하면 선거관리의 실패라고 말한다. 그렇다면 발달장애인이 이해할 수 있는 선거 정보조차 충분히 제공되지 않는 현실은 무엇이라 불러야 할까. 투표할 기회만 주어지고 선택할 정보는 제공되지 않는다면, 그 참정권은 과연 온전한 권리라고 할 수 있을까. 투표용지 부족이 유권자의 권리 행사를 가로막았다면, 접근할 수 없는 투표소와 부족한 정보 제공, 의사소통 지원의 부재 역시 동일한 참정권 침해다. 오히려 장애인 유권자들이 겪는 문제는 특정 선거에서 우연히 발생한 사고가 아니라 수십 년 동안 반복되어 온 구조적 문제라는 점에서 더욱 심각하다. 더욱이 장애인 참정권은 단순히 투표 당일의 문제가 아니다. 후보자 정보 접근, 선거운동 참여, 정책 토론회 시청, 공약 이해, 투표 과정 전반에 이르기까지 선거의 모든 단계에서 차별과 배제가 반복되고 있다. 참정권이란 투표용지에 기표하는 행위만이 아니라 정치적 의사를 형성하고 표현하는 전 과정을 의미한다는 점에서 현재의 선거 환경은 여전히 많은 장애인을 배제하고 있다. 그럼에도 이러한 문제는 선거가 끝난 뒤 잠시 언급될 뿐 사회적 분노로 이어지는 경우가 드물다. 언론의 집중 조명을 받지도 못하고, 정치권의 긴급 대응을 촉구하는 목소리도 좀처럼 나오지 않는다. 비장애인 유권자의 권리 침해에는 민주주의의 위기를 말하면서도, 장애인 유권자의 권리 침해에는 제도 개선 과제 정도로만 취급하는 현실은 우리 사회가 참정권을 얼마나 평등하게 바라보고 있는지 되묻게 만든다. 참정권은 헌법이 보장하는 기본권이다. 장애 유무에 따라, 정보 접근 능력에 따라, 이동 능력에 따라 권리의 무게가 달라질 수 없다. 민주주의는 단지 투표를 실시하는 제도가 아니라, 모든 시민이 동등하게 투표할 수 있는 조건을 보장하는 체제이기 때문이다. 그래서 이번 선거관리 부실 사태에 대한 분노는 더 넓어져야 한다. 투표용지 부족 문제를 해결하는 데서 멈출 것이 아니라, 지금까지 당연하게 방치되어 온 장애인 참정권 문제까지 함께 바라봐야 한다. 그래야만 이번 분노는 특정 사건에 대한 일시적 감정이 아니라 민주주의를 지키기 위한 원칙 있는 목소리가 될 수 있다. 민주주의는 다수의 의사결정 방식이지만, 그 품격은 소수자의 권리를 얼마나 보장하느냐에 의해 결정된다. 가장 쉽게 투표할 수 있는 사람의 권리가 아니라, 가장 어렵게 투표하는 사람의 권리까지 보장될 때 비로소 완성된다. 우리가 진정으로 민주주의를 걱정한다면, 투표용지 부족에 분노했던 만큼 계단 앞에서 돌아서야 하는 장애인 유권자의 현실에도, 이해할 수 있는 공약 정보를 찾지 못해 타인의 판단에 의존해야 하는 발달장애인 유권자의 현실에도 함께 분노해야 한다. 그것이야말로 누구도 배제되지 않는 민주주의, 모두를 위한 참정권의 출발점이다. [더인디고 THE INDIGO] The post [무필의 모두까기] 투표용지에는 분노하면서, 장애인 참정권에는 침묵하는 사회 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68503,2026-06-17,2026,2026-06-18T23:40:18+09:00,PHYSICAL_IMPAIRED,권리/차별,URGENT,TRUE,RSS,86,NOT_RECOMMENDED,HEARING_IMPAIRED|VISUAL_IMPAIRED
,"장기종, ‘장애인기업 발전 이끈 유공자’ 포상… 31일까지 접수","장기종, ‘장애인기업 발전 이끈 유공자’ 포상… 31일까지 접수 [더인디고 기자] 장애인기업의 성장을 이끌고 경제 발전에 이바지한 유공자들을 조명하는 자리가 마련된다. (재)장애인기업종합지원센터(이하 센터)는 장애인기업 발전에 기여한 공로자를 발굴하고 격려하기 위해 ‘2026년도 모범 장애경제인 및 장애인기업 육성 유공자 포상’ 신청을 오는 7월 31일(금)까지 접수한다고 밝혔다. 이번 포상은 기업 경영과 고용 창출에 앞장선 ‘모범 장애경제인(장애인기업 대표 및 임원)’과 관련 정책·제도 발전에 기여한 ‘장애인기업 육성 유공자’ 등 […] The post 장기종, ‘장애인기업 발전 이끈 유공자’ 포상… 31일까지 접수 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68491,2026-06-17,2026,2026-06-18T23:40:18+09:00,ALL,지원사업/모집,HIGH,TRUE,RSS,98,IMPORTANT_ALERT,
,[COSP 결산]① “새로운 선언보다 이행”… 세계 장애계가 던진 과제,"[COSP 결산]① “새로운 선언보다 이행”… 세계 장애계가 던진 과제 [더인디고] 유엔 장애인권리협약(CRPD) 채택 20주년을 맞아 열린 제19차 당사국회의(COSP19)는 국제 장애인권이 현재 어디에 서 있으며 앞으로 어디로 나아가야 하는지를 확인하는 치열한 성찰의 장이었다. 한자리에 모인 세계 장애계는 지난 20년간 CRPD가 이뤄낸 역사적 성과를 인정하면서도 “권리는 선언됐지만 삶은 얼마나 달라졌는가”라는 질문을 던졌다. 이들은 협약이 세계 각국의 법과 제도, 정책에 적지 않은 변화를 가져왔음에도 현장에서는 여전히 차별과 […] The post [COSP 결산]① “새로운 선언보다 이행”… 세계 장애계가 던진 과제 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68479,2026-06-16,2026,2026-06-18T23:40:18+09:00,ALL,권리/차별,LOW,TRUE,RSS,82,POLICY_REFERENCE,
,"“차별은 안전이 아니다”… 시각장애인 수영장 이용 거부, 법정으로","“차별은 안전이 아니다”… 시각장애인 수영장 이용 거부, 법정으로 [더인디고] 시각장애인이라는 이유로 민간 수영장 이용을 거부당한 당사자가 장애인차별금지법에 따른 차별구제청구소송을 제기했다. 장애계는 이번 사건이 특정 개인의 문제가 아니라 장애인의 체육시설 접근권을 제한해 온 구조적 차별이라며, 법원을 통해 장애인의 동등한 이용권을 명확히 확인받아야 한다고 강조했다. 16일 장애인차별금지추진연대와 1577-1330 장애인차별상담전화 평지, 소송대리인단은 서울중앙지방법원 앞에서 기자회견을 열고 “안전을 이유로 한 일률적인 이용 제한은 장애인차별금지법이 금지하는 차별행위”라며 민간 […] The post “차별은 안전이 아니다”… 시각장애인 수영장 이용 거부, 법정으로 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68486,2026-06-16,2026,2026-06-18T23:40:18+09:00,VISUAL_IMPAIRED,권리/차별,LOW,TRUE,RSS,98,INFO_CARD,VISUAL_IMPAIRED
,"“수어와 책으로 세상 누리다”… 국립장애인도서관, ‘손책누리’ 참가자 모집","“수어와 책으로 세상 누리다”… 국립장애인도서관, ‘손책누리’ 참가자 모집 [더인디고 기자] 청각장애 성인들이 지식과 정보를 장벽 없이 누릴 수 있도록 돕는 맞춤형 독서 프로그램이 열린다. 국립장애인도서관은 청각장애 성인의 원활한 독서 활동을 지원하기 위해 ‘손책누리’ 프로그램을 운영한다고 밝혔다. ‘손(수어)과 책으로 세상을 누리다’라는 뜻을 가진 손책누리는 지난 2013년 첫발을 내디딘 후 올해로 13회째를 맞이한 도서관의 대표적인 독서 지원 사업이다. 이번 프로그램은 오는 7월 1일부터 매주 수요일 […] The post “수어와 책으로 세상 누리다”… 국립장애인도서관, ‘손책누리’ 참가자 모집 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68483,2026-06-16,2026,2026-06-18T23:40:18+09:00,HEARING_IMPAIRED,지원사업/모집,HIGH,TRUE,RSS,95,VISUAL_GUIDE,HEARING_IMPAIRED
,"“야외 공연도 예외 없다”… 인권위, 공연장 휠체어석 미제공은 차별","“야외 공연도 예외 없다”… 인권위, 공연장 휠체어석 미제공은 차별 [더인디고] 야외 공연 관람장에도 휠체어석 설치 등 장애인을 위한 편의를 제공하지 않는 것은 차별이라는 국가인권위원회의 판단이 나왔다. 인권위는 모 기업 대표(이하 ‘피진정인’)에게 ‘A 가수 내한 공연’ 개최 과정에서 ▲휠체어석 전용 관람석 설치 및 동반인 좌석 확보, ▲예매 단계의 접근성 보장, ▲전용 출입 및 이동 동선 마련 ▲현장 안전요원 배치 등 별도의 안전관리 지침 마련 및 […] The post “야외 공연도 예외 없다”… 인권위, 공연장 휠체어석 미제공은 차별 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68473,2026-06-16,2026,2026-06-18T23:40:18+09:00,PHYSICAL_IMPAIRED,권리/차별,LOW,TRUE,RSS,71,NOT_RECOMMENDED,
,[박관찬의 기자노트] 장애를 밝힐까 말까,"[박관찬의 기자노트] 장애를 밝힐까 말까 [더인디고=박관찬 기자] 생활하면서 집에만 있는 경우가 아니라면 ‘이동’은 필수적인 요소다. 목적지까지 이동하기 위해 도보로 갈지, 대중교통을 이용할지는 시간이나 장소 등 환경적 요인에 따라 결정하게 된다. 출퇴근길은 웬만하면 지하철을 이용한다. 서울에서 수원까지는 지하철 1호선을 타면 환승 없이 한번에 갈 수 있기 때문에 비교적 편안하게 갈 수 있다. 다만, 퇴근길에는 지하철을 탈 때 1호선이 수원으로 가는 건지 […] The post [박관찬의 기자노트] 장애를 밝힐까 말까 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68424,2026-06-15,2026,2026-06-18T23:40:18+09:00,ALL,이동/교통,LOW,TRUE,RSS,76,INFO_CARD,
