docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,여성긴급전화 1366센터 운영 지원,"가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다. 신체건강,정신건강,안전·위기,법률 지원대상의 내용을 참고해 주시기 바랍니다. 1366 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001084&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-18T23:38:37+09:00,ALL,재난/안전,URGENT,FALSE,PUBLIC_API,70,URGENT_ALERT,,NOT_DISABILITY_RELATED
,공공분양,"저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다. 주거 공급유형별로 다음의 소득기준을 충족하여야 합니다. (일반공급) - (전용면적 60㎡ 이하) 공공분양 및 분양전환공공임대주택 : 전년도 도시근로자 가구당 월평균소득 100% 이하 - (그 외 주택) 소득기준 없음※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) - (생애최초 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 ※ 70%를 월평균 소득 100% 이하에 우선 공급 - (신혼부부 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 (다만, 맞벌이부부는 140%) ※ 70%를 월평균 소득 100% (맞벌이의 경우 120%) 이하에 우선 공급 - (노부모부양 특별공급) 전년도 도시근로자가구 평균소득 120% 이하 - (다자녀 특별공급) 전년도 도시근로자가구 평균소득 120% 이하- (그 외 공급유형) 소득기준 없음 공급유형별로 다음의 자산기준을 충족하여야 합니다. (일반공급) 분양전환공공임대주택 및 전용면적 60㎡ 이하 공공분양에 아래 자산기준을 적용 - (자산(토지 및 건축물)) 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - (자동차) 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) 신혼부부, 생애최초, 노부모부양, 다자녀가구 특별공급에 아래 자산기준을 적용 - 자산(토지 및 건축물) : 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - 자동차 : 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (그 외 공급유형) 자산기준 없음 1600-1004 저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다. 현물지급 청년, 중장년, 노년 주거",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000057&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-18T23:38:38+09:00,ALL,지원사업/모집,HIGH,FALSE,PUBLIC_API,15,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
,주거안정 월세대출 보증,"자력은 부족하지만 장래 소득발생이 예상되고 자활의지가 있는 저소득 계층의 주거안정을 위해 월세대출을 보증합니다. 주거,서민금융 지원대상의 내용을 참고해주시기 바랍니다. 1688-8114 자력은 부족하지만 장래 소득발생이 예상되고 자활의지가 있는 저소득 계층의 주거안정을 위해 월세대출을 보증합니다. 기타 중장년, 청년, 노년 서민금융, 주거",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001079&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-18T23:38:39+09:00,ALL,일반뉴스,LOW,FALSE,PUBLIC_API,15,BACKGROUND_INFO,,NOT_DISABILITY_RELATED
