docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,전입학생 생활안정 장학금,완주군으로 전입한 전입학생에게 생활안정 장학금을 지원하여 완주군에 안정적으로 정착하도록 돕고자 함. 전북특별자치도 완주군 행정자치국 인구정책과 완주군으로 전입한 전입학생에게 생활안정 장학금을 지원하여 완주군에 안정적으로 정착하도록 돕고자 함. 지역화폐 방문 전입신고일 기준 다른 시군구에 2년 이상 주소를 두고 있다가 군에 전입한 지 1개월이 경과한 관내 소재 대학교의 재학생 읍면 행정복지센터 방문 신청,공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006322&wlfareInfoReldBztpCd=02,2026-06-18,2026,2026-06-18T23:38:41+09:00,ALL,지원사업/모집,HIGH,FALSE,PUBLIC_API,15,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
,운동으로 산후우울에 브레이크를! (출산 후 심신 건강회복 운동비 지원),"-출산 후 산모의 신체적·정서적 회복을 통해 산후우울을 예방하고 모자의 건강 증진 -저출산에 따른 인구감소에 대응하기 위한 출산장려책을 통해 인구증가 도모 경상남도 함안군 보건소 건강증진과 -출산 후 산모의 신체적·정서적 회복을 통해 산후우울을 예방하고 모자의 건강 증진 -저출산에 따른 인구감소에 대응하기 위한 출산장려책을 통해 인구증가 도모 현금지급 방문 -사업신청일 기준으로 엄마와 자녀 모두 함안군에 주민등록을 두고 거주하며 최근 2년 이내에 출산한 여성(단, 출산 후 3개월 이상 경과) 또는 산후 우울 위험군(산후 우울 선별검사) -함안군보건소 모자보건실 방문신청",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006321&wlfareInfoReldBztpCd=02,2026-06-18,2026,2026-06-18T23:38:42+09:00,ALL,재난/안전,URGENT,FALSE,PUBLIC_API,70,URGENT_ALERT,,NOT_DISABILITY_RELATED
,근로능력평가용 진단서 발급비용 지원(진단서 발급비 걱정 말go),"근로능력 없는 자에 대한 보호와 근로능력자에 대한 조건부수급자 지정 등 의료급여 종별을 결정하기 위해 매년 근로능력평가를 실시하고 있으나 비용 문제로 제출기한을 넘기는 경우가 있어 진단서 발급비용을 지원해 수급자 부담을 경감하고 미제출로 인한 불이익을 방지하기 위함 전라남도 해남군 복지정책과 근로능력 없는 자에 대한 보호와 근로능력자에 대한 조건부수급자 지정 등 의료급여 종별을 결정하기 위해 매년 근로능력평가를 실시하고 있으나 비용 문제로 제출기한을 넘기는 경우가 있어 진단서 발급비용을 지원해 수급자 부담을 경감하고 미제출로 인한 불이익을 방지하기 위함 현금지급 방문 기초생활수급(권)자 중 근로능력평가용 진단서 정기 제출자 및 신규신청자에게 근로능력평가용 진단서 발급비용 지원 본인 또는 대리인이 주민등록상 주소지 읍면사무소 방문하여 신청 : (필요제출서류)근로능력평가용 진단서 발급비용 지원 신청서(읍면사무소 구비), 근로능력평가용진단서(사본), 진단서발급영수증, 통장사본",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006320&wlfareInfoReldBztpCd=02,2026-06-18,2026,2026-06-18T23:38:42+09:00,ALL,지원사업/모집,HIGH,FALSE,PUBLIC_API,15,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
,치매예방 인지증진 방문학습,"〇 독거치매, 노인부부 치매 등 상대적으로 사회적 교류가 적은 대상자에게 치매예방 및 인지증진을 위한 맞춤형 방문학습을 제공하여 사회적 접촉 기회제공 및 치매악화 방지를 위한 프로그램입니다 경기도 광명시 보건소 보건정책과 〇 독거치매, 노인부부 치매 등 상대적으로 사회적 교류가 적은 대상자에게 치매예방 및 인지증진을 위한 맞춤형 방문학습을 제공하여 사회적 접촉 기회제공 및 치매악화 방지를 위한 프로그램입니다 프로그램/서비스(서비스) 독거치매, 노인부부 치매, 경도인지장애, 인지저하자 우선 소득기준을 적용하지는 않으나 기초생활 수급 킻 차상위시 우선 적용 직접 지원(별도 신청사항 없음)",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006149&wlfareInfoReldBztpCd=02,2026-06-18,2026,2026-06-18T23:38:43+09:00,ALL,지원사업/모집,HIGH,FALSE,PUBLIC_API,35,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
