docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,“자폐 당사자의 주체적 권리 찾는다”… 자폐인 긍지의 날 기념식 개최,"“자폐 당사자의 주체적 권리 찾는다”… 자폐인 긍지의 날 기념식 개최 [더인디고 기자] 자폐 당사자들이 돌봄의 대상을 넘어 권리의 주체로서 목소리를 내는 뜻깊은 장이 열린다. 신경다양성 지지모임 세바다와 자폐인 모임 에스타스(estas)는 오는 20일 이룸센터에서 ‘2026 자폐인 긍지의 날’ 기념식을 공동 개최한다고 밝혔다. 올해로 국내 개최 5회째를 맞는 이번 행사의 주제는 ‘우리의 긍지를 향해: 자폐가 트렌드다’로, 호주 행사의 구호를 반추해 정해졌다. 자폐스러움이 유행이라서가 아닌, 그 자체로 일상에서 […] The post “자폐 당사자의 주체적 권리 찾는다”… 자폐인 긍지의 날 기념식 개최 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68498,2026-06-17,2026,2026-06-18T23:40:18+09:00,ALL,복지지원,LOW,FALSE,RSS,15,POLICY_REFERENCE,,NOT_DISABILITY_RELATED
,인권위 비상임위원 후보 3인 압축… 김민문정·박옥순·이한결 추천,"인권위 비상임위원 후보 3인 압축… 김민문정·박옥순·이한결 추천 [더인디고] 국가인권위원회(인권위) 비상임 인권위원 후보로 김민문정 전 한국여성단체연합 상임대표, 박옥순 장애와인권 발바닥행동 대표, 이한결 경기우리도 대표이사 등 3명이 추천됐다. 후보추천위원회는 16일 이한별 비상임 인권위원의 후임 선정을 위한 공개모집과 심사를 진행한 결과, 이들 3명을 지명권자인 대통령에게 추천했다고 밝혔다. 대통령은 추천된 후보 가운데 최종 1명을 지명한 뒤 비상임 인권위원으로 임명하게 된다. 추천위원회는 인권 보호와 증진에 필요한 다양한 […] The post 인권위 비상임위원 후보 3인 압축… 김민문정·박옥순·이한결 추천 first appeared on 더인디고 .",더인디고 RSS,https://theindigo.co.kr/archives/68475,2026-06-16,2026,2026-06-18T23:40:18+09:00,ALL,지원사업/모집,HIGH,FALSE,RSS,35,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
