docId,title,summary,content,source,url,category,priority,accessibilityTarget,supportTarget,selectionCriteria,applicationMethod,contact,department,updatedAt,sourceType,detailStatus,importantFields
BOKJIRO-WLF00004639,전기요금 복지할인,"기초생활수급자, 차상위계층, 기초연금수급자, 장애인, 국가유공자의 전기요금 부담을 경감하고자 요금감면을 지원합니다.","제목: 전기요금 복지할인
요약: 기초생활수급자, 차상위계층, 기초연금수급자, 장애인, 국가유공자의 전기요금 부담을 경감하고자 요금감면을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004639&wlfareInfoReldBztpCd=01,생활지원,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001175,자립준비청년 자립수당 지급,자립준비청년(보호종료아동)에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 안정적 사회정착 및 성공적 자립을 지원합니다.,"제목: 자립준비청년 자립수당 지급
요약: 자립준비청년(보호종료아동)에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 안정적 사회정착 및 성공적 자립을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001175&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00004658,과학문화 바우처 지원,과학문화 소외지역 및 계층을 대상으로 과학문화 체험 기회 제공을 통한 격차 해소에 기여하고자 합니다.,"제목: 과학문화 바우처 지원
요약: 과학문화 소외지역 및 계층을 대상으로 과학문화 체험 기회 제공을 통한 격차 해소에 기여하고자 합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004658&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00005036,개인채무조정,"채무를 정상적으로 상환하기 어려운 분들을 대상으로 채무감면, 이자율 조정, 장기 분할상환 등의 채무조정을 통해 경제적으로 재기할 수 있도록 지원합니다.","제목: 개인채무조정
요약: 채무를 정상적으로 상환하기 어려운 분들을 대상으로 채무감면, 이자율 조정, 장기 분할상환 등의 채무조정을 통해 경제적으로 재기할 수 있도록 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005036&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001062,정보통신보조기기 보급,장애인의 기능적 한계를 보완개선하여 정보화를 통한 역량을 증진할 수 있도록 정보통신보조기기 보급을 지원합니다.,"제목: 정보통신보조기기 보급
요약: 장애인의 기능적 한계를 보완개선하여 정보화를 통한 역량을 증진할 수 있도록 정보통신보조기기 보급을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001062&wlfareInfoReldBztpCd=01,보조기기,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003278,여성장애인 출산비용지원,임신과 출산에 대한 비용이 추가로 발생하는 여성장애인에게 출산비용을 지원하여 경제적 부담을 경감하고 모성권 보호에 기여합니다.,"제목: 여성장애인 출산비용지원
요약: 임신과 출산에 대한 비용이 추가로 발생하는 여성장애인에게 출산비용을 지원하여 경제적 부담을 경감하고 모성권 보호에 기여합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003278&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003252,노인보호전문기관,"학대피해 노인에게 일시보호, 법률지원, 전문 상담 등의 서비스를 제공합니다.","제목: 노인보호전문기관
요약: 학대피해 노인에게 일시보호, 법률지원, 전문 상담 등의 서비스를 제공합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003252&wlfareInfoReldBztpCd=01,재난/안전,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003274,국가유공자보철구지급,국가유공상이자에게 신체 기능 장애나 활동력이 상실된 부분을 보충하거나 보완해 주는 보철구를 지급하여 생활의 편의를 돕습니다.,"제목: 국가유공자보철구지급
요약: 국가유공상이자에게 신체 기능 장애나 활동력이 상실된 부분을 보충하거나 보완해 주는 보철구를 지급하여 생활의 편의를 돕습니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003274&wlfareInfoReldBztpCd=01,생활지원,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00004661,청년월세 지원사업,고금리·고물가 등으로 경제적 어려움을 겪는 청년층의 주거비 부담 경감을 위해 월 최대20만원씩 최장 24개월간 월세를 지원합니다(생애1회). ※ '26년 신규 신청기간: 3.30(월) 09:00 ~ 5.29(금) 16:00까지,"제목: 청년월세 지원사업
요약: 고금리·고물가 등으로 경제적 어려움을 겪는 청년층의 주거비 부담 경감을 위해 월 최대20만원씩 최장 24개월간 월세를 지원합니다(생애1회). ※ '26년 신규 신청기간: 3.30(월) 09:00 ~ 5.29(금) 16:00까지
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004661&wlfareInfoReldBztpCd=01,복지서비스,HIGH,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001169,의료급여 틀니·치과임플란트,틀니 및 치과임플란트에 대하여 의료급여를 실시하여 65세 이상 노인 수급권자의 경제적 부담을 완화하고 구강건강 향상을 도모합니다.,"제목: 의료급여 틀니·치과임플란트
요약: 틀니 및 치과임플란트에 대하여 의료급여를 실시하여 65세 이상 노인 수급권자의 경제적 부담을 완화하고 구강건강 향상을 도모합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001169&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
